Time,Temperature,SootA,Co2,
29-8-2015T13-25-02,25.469999,27.05337,1420.76001,
29-8-2015T13-25-03,25.469999,26.996981,1420.76001,
29-8-2015T13-25-04,25.469999,26.94623,1422.060059,
29-8-2015T13-25-05,25.469999,26.900555,1422.060059,
29-8-2015T13-25-06,25.469999,26.859447,1428.079956,
29-8-2015T13-25-07,25.469999,26.928316,1428.079956,
29-8-2015T13-25-08,25.469999,26.945803,1426.569946,
29-8-2015T13-25-09,25.469999,26.975351,1426.569946,
29-8-2015T13-25-10,25.469999,27.001944,1422.369995,
29-8-2015T13-25-11,25.469999,27.025877,1422.369995,
29-8-2015T13-25-12,25.469999,27.047417,1423.22998,
29-8-2015T13-25-13,25.469999,27.023844,1423.22998,
29-8-2015T13-25-14,25.469999,26.963503,1416.920044,
29-8-2015T13-25-15,25.469999,27.049585,1416.920044,
29-8-2015T13-25-16,25.469999,27.127058,1416.98999,
29-8-2015T13-25-17,25.469999,27.196785,1416.98999,
29-8-2015T13-25-18,25.469999,27.259539,1413.329956,
29-8-2015T13-25-19,25.469999,27.301441,1413.329956,
29-8-2015T13-25-20,25.469999,27.293123,1416.410034,
29-8-2015T13-25-21,25.469999,27.184374,1416.410034,
29-8-2015T13-25-22,25.469999,27.0865,1416.060059,
29-8-2015T13-25-23,25.469999,26.998413,1416.060059,
29-8-2015T13-25-24,25.469999,26.919134,1418.849976,
29-8-2015T13-25-25,25.469999,26.873867,1418.849976,
29-8-2015T13-25-26,25.469999,26.945129,1418.839966,
29-8-2015T13-25-27,25.469999,27.038418,1418.839966,
29-8-2015T13-25-28,25.469999,27.122377,1420.02002,
29-8-2015T13-25-29,25.469999,27.197941,1420.02002,
29-8-2015T13-25-30,25.469999,27.265947,1420.290039,
29-8-2015T13-25-31,25.469999,27.25811,1420.290039,
29-8-2015T13-25-32,25.469999,27.283278,1421.329956,
29-8-2015T13-25-33,25.469999,27.257597,1421.329956,
29-8-2015T13-25-34,25.469999,27.234486,1417.810059,
29-8-2015T13-25-35,25.469999,27.213684,1417.810059,
29-8-2015T13-25-36,25.469999,27.194963,1417.75,
29-8-2015T13-25-37,25.469999,27.395983,1417.75,
29-8-2015T13-25-38,25.469999,27.448021,1428.22998,
29-8-2015T13-25-39,25.469999,27.48028,1428.22998,
29-8-2015T13-25-40,25.469999,27.509314,1427.800049,
29-8-2015T13-25-41,25.469999,27.535442,1427.800049,
29-8-2015T13-25-42,25.469999,27.558958,1427.689941,
29-8-2015T13-25-43,25.469999,27.386805,1427.689941,
29-8-2015T13-25-44,25.469999,27.292469,1427.27002,
29-8-2015T13-25-45,25.469999,27.25934675,1426.57876625,
29-8-2015T13-25-46,25.469999,27.2262245,1425.8875125,
29-8-2015T13-25-47,25.469999,27.193102250000003,1425.19625875,
29-8-2015T13-25-48,25.469999,27.15998,1424.505005,
29-8-2015T13-25-49,25.469999,27.12685775,1423.81375125,
29-8-2015T13-25-50,25.469999,27.0937355,1423.1224975,
29-8-2015T13-25-51,25.469999,27.060613250000003,1422.43124375,
29-8-2015T13-25-52,25.469999,27.027491,1421.73999,
29-8-2015T13-25-53,25.469999,26.975224,1421.73999,
29-8-2015T13-25-54,25.469999,26.928183,1422.569946,
29-8-2015T13-25-55,25.469999,26.875107,1422.569946,
29-8-2015T13-25-56,25.469999,27.009918,1418.349976,
29-8-2015T13-25-57,25.469999,27.03982733333333,1418.8766686666665,
29-8-2015T13-25-58,25.469999,27.069736666666667,1419.4033613333334,
29-8-2015T13-25-59,25.469999,27.099646,1419.930054,
29-8-2015T13-26-00,25.469999,27.123783,1420.329956,
29-8-2015T13-26-01,25.469999,27.213781,1420.329956,
29-8-2015T13-26-02,25.469999,27.274067,1420.219971,
29-8-2015T13-26-03,25.469999,27.312214,1420.219971,
29-8-2015T13-26-04,25.469999,27.346546,1419.23999,
